Serial No,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,y=Chance of Admit 
1,337,118,4,45,45,965,1,92
2,324,107,4,4,45,887,1,76
3,316,104,3,3,35,8,1,72
4,322,110,3,35,25,867,1,8
5,314,103,2,2,3,821,0,65
6,330,115,5,45,3,934,1,9
7,321,109,3,3,4,82,1,75
8,308,101,2,3,4,79,0,68
9,302,102,1,2,15,8,0,5
10,323,108,3,35,3,86,0,45
11,325,106,3,35,4,84,1,52
12,327,111,4,4,45,9,1,84
13,328,112,4,4,45,91,1,78
14,307,109,3,4,3,8,1,62
15,311,104,3,35,2,82,1,61
16,314,105,3,35,25,83,0,54
17,317,107,3,4,3,87,0,66
18,319,106,3,4,3,8,1,65
19,318,110,3,4,3,88,0,63
20,303,102,3,35,3,85,0,62
21,312,107,3,3,2,79,1,64
22,325,114,4,3,2,84,0,7
23,328,116,5,5,5,95,1,94
24,334,119,5,5,45,97,1,95
25,336,119,5,4,35,98,1,97
26,340,120,5,45,45,96,1,94
27,322,109,5,45,35,88,0,76
28,298,98,2,15,25,75,1,44
29,295,93,1,2,2,72,0,46
30,310,99,2,15,2,73,0,54
31,300,97,2,3,3,81,1,65
32,327,103,3,4,4,83,1,74
33,338,118,4,3,45,94,1,91
34,340,114,5,4,4,96,1,9
35,331,112,5,4,5,98,1,94
36,320,110,5,5,5,92,1,88
37,299,106,2,4,4,84,0,64
38,300,105,1,1,2,78,0,58
39,304,105,1,3,15,75,0,52
40,307,108,2,4,35,77,0,48
41,308,110,3,35,3,8,1,46
42,316,105,2,25,25,82,1,49
43,313,107,2,25,2,85,1,53
44,332,117,4,45,4,91,0,87
45,326,113,5,45,4,94,1,91
46,322,110,5,5,4,91,1,88
47,329,114,5,4,5,93,1,86
48,339,119,5,45,4,97,0,89
49,321,110,3,35,5,885,1,82
50,327,111,4,3,4,84,1,78
51,313,98,3,25,45,83,1,76
52,312,100,2,15,35,79,1,56
53,334,116,4,4,3,8,1,78
54,324,112,4,4,25,81,1,72
55,322,110,3,3,35,8,0,7
56,320,103,3,3,3,77,0,64
57,316,102,3,2,3,74,0,64
58,298,99,2,4,2,76,0,46
59,300,99,1,3,2,68,1,36
60,311,104,2,2,2,83,0,42
61,309,100,2,3,3,81,0,48
62,307,101,3,4,3,82,0,47
63,304,105,2,3,3,82,1,54
64,315,107,2,4,3,85,1,56
65,325,111,3,3,35,87,0,52
66,325,112,4,35,35,892,0,55
67,327,114,3,3,3,902,0,61
68,316,107,2,35,35,864,1,57
69,318,109,3,35,4,922,1,68
70,328,115,4,45,4,916,1,78
71,332,118,5,5,5,964,1,94
72,336,112,5,5,5,976,1,96
73,321,111,5,5,5,945,1,93
74,314,108,4,45,4,904,1,84
75,314,106,3,3,5,89,0,74
76,329,114,2,2,4,856,1,72
77,327,112,3,3,3,872,1,74
78,301,99,2,3,2,822,0,64
79,296,95,2,3,2,754,1,44
80,294,93,1,15,2,736,0,46
81,312,105,3,2,3,802,1,5
82,340,120,4,5,5,95,1,96
83,320,110,5,5,45,922,1,92
84,322,115,5,4,45,936,1,92
85,340,115,5,45,45,945,1,94
86,319,103,4,45,35,866,0,76
87,315,106,3,45,35,842,0,72
88,317,107,2,35,3,828,0,66
89,314,108,3,45,35,814,0,64
90,316,109,4,45,35,876,1,74
91,318,106,2,4,4,792,1,64
92,299,97,3,5,35,766,0,38
93,298,98,2,4,3,803,0,34
94,301,97,2,3,3,788,1,44
95,303,99,3,2,25,766,0,36
96,304,100,4,15,25,784,0,42
97,306,100,2,3,3,8,0,48
98,331,120,3,4,4,896,1,86
99,332,119,4,5,45,924,1,9
100,323,113,3,4,4,888,1,79
101,322,107,3,35,35,846,1,71
102,312,105,2,25,3,812,0,64
103,314,106,2,4,35,825,0,62
104,317,104,2,45,4,847,0,57
105,326,112,3,35,3,905,1,74
106,316,110,3,4,45,878,1,69
107,329,111,4,45,45,918,1,87
108,338,117,4,35,45,946,1,91
109,331,116,5,5,5,938,1,93
110,304,103,5,5,4,864,0,68
111,305,108,5,3,3,848,0,61
112,321,109,4,4,4,868,1,69
113,301,107,3,35,35,834,1,62
114,320,110,2,4,35,856,0,72
115,311,105,3,35,3,845,1,59
116,310,106,4,45,45,904,1,66
117,299,102,3,4,35,862,0,56
118,290,104,4,2,25,746,0,45
119,296,99,2,3,35,728,0,47
120,327,104,5,3,35,884,1,71
121,335,117,5,5,5,956,1,94
122,334,119,5,45,45,948,1,94
123,310,106,4,15,25,836,0,57
124,308,108,3,35,35,822,0,61
125,301,106,4,25,3,847,0,57
126,300,100,3,2,3,866,1,64
127,323,113,3,4,3,932,1,85
128,319,112,3,25,2,871,1,78
129,326,112,3,35,3,91,1,84
130,333,118,5,5,5,935,1,92
131,339,114,5,4,45,976,1,96
132,303,105,5,5,45,865,0,77
133,309,105,5,35,35,856,0,71
134,323,112,5,4,45,878,0,79
135,333,113,5,4,4,928,1,89
136,314,109,4,35,4,877,1,82
137,312,103,3,5,4,845,0,76
138,316,100,2,15,3,816,1,71
139,326,116,2,45,3,908,1,8
140,318,109,1,35,35,912,0,78
141,329,110,2,4,3,915,1,84
142,332,118,2,45,35,936,1,9
143,331,115,5,4,35,944,1,92
144,340,120,4,45,4,992,1,97
145,325,112,2,3,35,896,1,8
146,320,113,2,2,25,864,1,81
147,315,105,3,2,25,848,0,75
148,326,114,3,3,3,911,1,83
149,339,116,4,4,35,98,1,96
150,311,106,2,35,3,826,1,79
151,334,114,4,4,4,943,1,93
152,332,116,5,5,5,928,1,94
153,321,112,5,5,5,906,1,86
154,324,105,3,3,4,875,0,79
155,326,108,3,3,35,889,0,8
156,312,109,3,3,3,869,0,77
157,315,105,3,2,25,834,0,7
158,309,104,2,2,25,826,0,65
159,306,106,2,2,25,814,0,61
160,297,100,1,15,2,79,0,52
161,315,103,1,15,2,786,0,57
162,298,99,1,15,3,746,0,53
163,318,109,3,3,3,85,0,67
164,317,105,3,35,3,856,0,68
165,329,111,4,45,4,901,1,81
166,322,110,5,45,4,897,0,78
167,302,102,3,35,5,833,0,65
168,313,102,3,2,3,827,0,64
169,293,97,2,2,4,78,1,64
170,311,99,2,25,3,798,0,65
171,312,101,2,25,35,804,1,68
172,334,117,5,4,45,907,1,89
173,322,110,4,4,5,913,1,86
174,323,113,4,4,45,923,1,89
175,321,111,4,4,4,897,1,87
176,320,111,4,45,35,887,1,85
177,329,119,4,45,45,916,1,9
178,319,110,3,35,35,904,0,82
179,309,108,3,25,3,812,0,72
180,307,102,3,3,3,827,0,73
181,300,104,3,35,3,816,0,71
182,305,107,2,25,25,842,0,71
183,299,100,2,3,35,788,0,68
184,314,110,3,4,4,88,0,75
185,316,106,2,25,4,832,0,72
186,327,113,4,45,45,911,1,89
187,317,107,3,35,3,868,1,84
188,335,118,5,45,35,944,1,93
189,331,115,5,45,35,936,1,93
190,324,112,5,5,5,908,1,88
191,324,111,5,45,4,916,1,9
192,323,110,5,4,5,898,1,87
193,322,114,5,45,4,894,1,86
194,336,118,5,45,5,953,1,94
195,316,109,3,35,3,876,0,77
196,307,107,2,3,35,852,1,78
197,306,105,2,3,25,826,0,73
198,310,106,2,35,25,833,0,73
199,311,104,3,45,45,843,0,7
200,313,107,3,4,45,869,0,72
201,317,103,3,25,3,854,1,73
202,315,110,2,35,3,846,1,72
203,340,120,5,45,45,991,1,97
204,334,120,5,4,5,987,1,97
205,298,105,3,35,4,854,0,69
206,295,99,2,25,3,765,0,57
207,315,99,2,35,3,789,0,63
208,310,102,3,35,4,802,1,66
209,305,106,2,3,3,816,0,64
210,301,104,3,35,4,812,1,68
211,325,108,4,45,4,906,1,79
212,328,110,4,5,4,914,1,82
213,338,120,4,5,5,966,1,95
214,333,119,5,5,45,978,1,96
215,331,117,4,45,5,942,1,94
216,330,116,5,5,45,936,1,93
217,322,112,4,45,45,926,1,91
218,321,109,4,4,4,913,1,85
219,324,110,4,3,35,897,1,84
220,312,104,3,35,35,842,0,74
221,313,103,3,4,4,875,0,76
222,316,110,3,35,4,856,0,75
223,324,113,4,45,4,879,0,76
224,308,109,2,3,4,845,0,71
225,305,105,2,3,2,823,0,67
226,296,99,2,25,25,803,0,61
227,306,110,2,35,4,845,0,63
228,312,110,2,35,3,853,0,64
229,318,112,3,4,35,867,0,71
230,324,111,4,3,3,901,1,82
231,313,104,3,4,45,865,0,73
232,319,106,3,35,25,833,1,74
233,312,107,2,25,35,827,0,69
234,304,100,2,25,35,807,0,64
235,330,113,5,5,4,931,1,91
236,326,111,5,45,4,923,1,88
237,325,112,4,4,45,917,1,85
238,329,114,5,45,5,919,1,86
239,310,104,3,2,35,837,0,7
240,299,100,1,15,2,789,0,59
241,296,101,1,25,3,768,0,6
242,317,103,2,25,2,815,0,65
243,324,115,3,35,3,876,1,7
244,325,114,3,35,3,904,1,76
245,314,107,2,25,4,856,0,63
246,328,110,4,4,25,902,1,81
247,316,105,3,3,35,873,0,72
248,311,104,2,25,35,848,0,71
249,324,110,3,35,4,887,1,8
250,321,111,3,35,4,883,1,77
251,320,104,3,3,25,857,1,74
252,316,99,2,25,3,9,0,7
253,318,100,2,25,35,854,1,71
254,335,115,4,45,45,968,1,93
255,321,114,4,4,5,912,0,85
256,307,110,4,4,45,837,0,79
257,309,99,3,4,4,856,0,76
258,324,100,3,4,5,864,1,78
259,326,102,4,5,5,876,1,77
260,331,119,4,5,45,934,1,9
261,327,108,5,5,35,913,1,87
262,312,104,3,35,4,809,0,71
263,308,103,2,25,4,836,1,7
264,324,111,3,25,15,879,1,7
265,325,110,2,3,25,876,1,75
266,313,102,3,25,25,868,0,71
267,312,105,2,2,25,845,0,72
268,314,107,3,3,35,817,1,73
269,327,113,4,45,5,914,0,83
270,308,108,4,45,5,834,0,77
271,306,105,2,25,3,822,1,72
272,299,96,2,15,2,786,0,54
273,294,95,1,15,15,764,0,49
274,312,99,1,1,15,801,1,52
275,315,100,1,2,25,795,0,58
276,322,110,3,35,3,896,1,78
277,329,113,5,5,45,945,1,89
278,320,101,2,25,3,862,0,7
279,308,103,2,3,35,849,0,66
280,304,102,2,3,4,873,0,67
281,311,102,3,45,4,864,1,68
282,317,110,3,4,45,911,1,8
283,312,106,3,4,35,879,1,81
284,321,111,3,25,3,89,1,8
285,340,112,4,5,45,966,1,94
286,331,116,5,4,4,926,1,93
287,336,118,5,45,4,919,1,92
288,324,114,5,5,45,908,1,89
289,314,104,4,5,5,902,0,82
290,313,109,3,4,35,9,0,79
291,307,105,2,25,3,765,0,58
292,300,102,2,15,2,787,0,56
293,302,99,2,1,2,797,0,56
294,312,98,1,35,3,818,1,64
295,316,101,2,25,2,832,1,61
296,317,100,2,3,25,857,0,68
297,310,107,3,35,35,867,0,76
298,320,120,3,4,45,911,0,86
299,330,114,3,45,45,924,1,9
300,305,112,3,3,35,865,0,71
301,309,106,2,25,25,8,0,62
302,319,108,2,25,3,876,0,66
303,322,105,2,3,3,845,1,65
304,323,107,3,35,35,855,1,73
305,313,106,2,25,2,843,0,62
306,321,109,3,35,35,88,1,74
307,323,110,3,4,35,91,1,79
308,325,112,4,4,4,9,1,8
309,312,108,3,35,3,853,0,69
310,308,110,4,35,3,86,0,7
311,320,104,3,3,35,874,1,76
312,328,108,4,45,4,918,1,84
313,311,107,4,45,45,9,1,78
314,301,100,3,35,3,804,0,67
315,305,105,2,3,4,813,0,66
316,308,104,2,25,3,807,0,65
317,298,101,2,15,2,786,0,54
318,300,99,1,1,25,801,0,58
319,324,111,3,25,2,88,1,79
320,327,113,4,35,3,869,1,8
321,317,106,3,4,35,85,1,75
322,323,104,3,4,4,844,1,73
323,314,107,2,25,4,827,0,72
324,305,102,2,2,25,818,0,62
325,315,104,3,3,25,833,0,67
326,326,116,3,35,4,914,1,81
327,299,100,3,2,2,802,0,63
328,295,101,2,25,2,786,0,69
329,324,112,4,4,35,877,1,8
330,297,96,2,25,15,789,0,43
331,327,113,3,35,3,866,1,8
332,311,105,2,3,2,812,1,73
333,308,106,3,35,25,821,1,75
334,319,108,3,3,35,854,1,71
335,312,107,4,45,4,865,1,73
336,325,111,4,4,45,911,1,83
337,319,110,3,3,25,879,0,72
338,332,118,5,5,5,947,1,94
339,323,108,5,4,4,874,1,81
340,324,107,5,35,4,866,1,81
341,312,107,3,3,3,846,1,75
342,326,110,3,35,35,876,1,79
343,308,106,3,3,3,824,0,58
344,305,103,2,25,35,813,0,59
345,295,96,2,15,2,734,0,47
346,316,98,1,15,2,743,0,49
347,304,97,2,15,2,764,0,47
348,299,94,1,1,1,734,0,42
349,302,99,1,2,2,725,0,57
350,313,101,3,25,3,804,0,62
351,318,107,3,3,35,827,1,74
352,325,110,4,35,4,867,1,73
353,303,100,2,3,35,806,1,64
354,300,102,3,35,25,817,0,63
355,297,98,2,25,3,767,0,59
356,317,106,2,2,35,812,0,73
357,327,109,3,35,4,877,1,79
358,301,104,2,35,35,789,1,68
359,314,105,2,25,2,764,0,7
360,321,107,2,2,15,844,0,81
361,322,110,3,4,5,864,1,85
362,334,116,4,4,35,954,1,93
363,338,115,5,45,5,923,1,91
364,306,103,2,25,3,836,0,69
365,313,102,3,35,4,89,1,77
366,330,114,4,45,3,917,1,86
367,320,104,3,35,45,834,1,74
368,311,98,1,1,25,746,0,57
369,298,92,1,2,2,788,0,51
370,301,98,1,2,3,803,1,67
371,310,103,2,25,25,824,0,72
372,324,110,3,35,3,922,1,89
373,336,119,4,45,4,962,1,95
374,321,109,3,3,3,854,1,79
375,315,105,2,2,25,765,0,39
376,304,101,2,2,25,766,0,38
377,297,96,2,25,2,743,0,34
378,290,100,1,15,2,756,0,47
379,303,98,1,2,25,765,0,56
380,311,99,1,25,3,843,1,71
381,322,104,3,35,4,884,1,78
382,319,105,3,3,35,867,1,73
383,324,110,4,45,4,915,1,82
384,300,100,3,3,35,826,0,62
385,340,113,4,5,5,974,1,96
386,335,117,5,5,5,982,1,96
387,302,101,2,25,35,796,0,46
388,307,105,2,2,35,81,0,53
389,296,97,2,15,2,78,0,49
390,320,108,3,35,4,844,1,76
391,314,102,2,2,25,824,0,64
392,318,106,3,2,3,865,0,71
393,326,112,4,4,35,912,1,84
394,317,104,2,3,3,876,0,77
395,329,111,4,45,4,923,1,89
396,324,110,3,35,35,904,1,82
397,325,107,3,3,35,911,1,84
398,330,116,4,5,45,945,1,91
399,312,103,3,35,4,878,0,67
400,333,117,4,5,4,966,1,95
