Year,Decimal Day of Year,Month,Day,Time
1917,120.4792,April,30,11:30
1918,131.3979,May,11,09:33
1919,123.6063,May,3,14:33
1920,132.4486,May,11,10:46
1921,131.2792,May,11,06:42
1922,132.5556,May,12,13:20
1923,129.0833,May,9,02:00
1924,132.6319,May,11,15:10
1925,127.7722,May,7,18:32
1926,116.6688,April,26,16:03
1927,133.2375,May,13,05:42
1928,127.684,May,6,16:25
1929,125.6535,May,5,15:41
1930,128.7938,May,8,19:03
1931,130.391,May,10,09:23
1932,122.4271,May,1,10:15
1933,128.8125,May,8,19:30
1934,120.5882,April,30,14:07
1935,135.5639,May,15,13:32
1936,121.5403,April,30,12:58
1937,132.8361,May,12,20:04
1938,126.8431,May,6,20:14
1939,119.5597,April,29,13:26
1940,111.6438,April,20,15:27
1941,123.0764,May,3,01:50
1942,120.5611,April,30,13:28
1943,118.8069,April,28,19:22
1944,125.5889,May,4,14:08
1945,136.4035,May,16,09:41
1946,125.6944,May,5,16:40
1947,123.7451,May,3,17:53
1948,134.4674,May,13,11:13
1949,134.5271,May,14,12:39
1950,126.6764,May,6,16:14
1951,120.7458,April,30,17:54
1952,133.7111,May,12,17:04
1953,119.6625,April,29,15:54
1954,126.7507,May,6,18:01
1955,129.5924,May,9,14:13
1956,122.975,May,1,23:24
1957,125.3958,May,5,09:30
1958,119.6222,April,29,14:56
1959,128.4764,May,8,11:26
1960,123.8,May,2,19:12
1961,125.4799,May,5,11:31
1962,132.9743,May,12,23:23
1963,125.7674,May,5,18:25
1964,141.4868,May,20,11:41
1965,127.7924,May,7,19:01
1966,128.5076,May,8,12:11
1967,124.4965,May,4,11:55
1968,129.3931,May,8,09:26
1969,118.5194,April,28,12:28
1970,124.4424,May,4,10:37
1971,128.8965,May,8,21:31
1972,131.4972,May,10,11:56
1973,124.4993,May,4,11:59
1974,126.6556,May,6,15:44
1975,130.5757,May,10,13:49
1976,123.4521,May,2,10:51
1977,126.5319,May,6,12:46
1978,120.6375,April,30,15:18
1979,120.7611,April,30,18:16
1980,120.5528,April,29,13:16
1981,120.7806,April,30,18:44
1982,130.7333,May,10,17:36
1983,119.7757,April,29,18:37
1984,130.6479,May,9,15:33
1985,131.6083,May,11,14:36
1986,128.9514,May,8,22:50
1987,125.6326,May,5,15:11
1988,118.3854,April,27,09:15
1989,121.8431,May,1,20:14
1990,114.7215,April,24,17:19
1991,121.0028,May,1,12:04
1992,135.2681,May,14,06:26
1993,113.5424,April,23,13:01
1994,119.959,April,29,23:01
1995,116.5569,April,26,13:22
1996,126.5222,May,5,12:32
1997,120.4361,April,30,10:28
1998,110.7042,April,20,16:54
1999,119.9076,April,29,21:47
2000,122.4493,May,1,10:47
2001,128.5417,May,8,13:00
2002,127.8938,May,7,21:27
2003,119.7653,April,29,18:22
2004,115.5944,April,24,14:16
2005,118.5007,April,28,12:01
2006,122.7285,May,2,17:29
2007,117.6576,April,27,15:47
2008,127.9535,May,6,22:53
2009,121.8618,May,1,20:41
2010,119.3792,April,29,09:06
2011,124.6833,May,4,16:24
2012,114.8188,April,23,19:39
2013,140.6118,May,20,14:41
2014,115.6583,April,25,15:48
2015,114.6007,April,24,14:25
2016,114.6521,April,23,15:39
2017,121.5,May,1,12:00
2018,121.5542,May,1,13:18
2019,104.0146,April,14,00:21
2020,118.5389,April,27,12:56