BandNumber,Species,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
745-49508,CH,I,F,265,470,18.7,23.5,220
120407-804,CH,I,,233,324,16,19.3,191
745-49512,CH,I,F,252,340,16,20.8,230
745-49513,CH,A,M,240,340,16.1,19.3,192
745-49515,CH,I,F,271,475,18.2,24.75,232
1204-45804,CH,A,M,233,340,17.8,19.4,186
2206-35417,CH,I,F,260,420,19.6,23.9,220
1705-24603,CH,I,F,265,365,16.8,22.5,224
1204-45805,CH,A,M,239,183,17.3,19.2,182
1204-45806,CH,A,M,236,390,15.1,20.4,185
1705-24606,CH,I,M,223,550,18.8,21.3,210
1705-24607,CH,I,F,273,530,19.2,24.7,213
1705-24608,CH,I,F,259,470,16.6,23.4,221
 ,CH,A,,NA,480,17.7,32.1,198
1705-24609,CH,I,M,225,350,12.6,26,215
1705-24610,CH,A,M,247,375,16.9,18.2,160
1705-24611,CH,I,M,225,400,15,20,202
1705-24626,CH,I,F,265,464,19.2,24.1,225
1705-24627,CH,I,M,194,163,12.2,20,158
1705-24628,CH,A,F,377,1119,25.4,23.9,226
1204-45809,CH,I,M,336,742,23.4,18.8,221
1705-24629,CH,I,F,199,187,12.2,24.2,157
1705-24630,CH,I,F,268,469,20,24.9,227
12044-5876,CH,A,M,213,339,23.5,13.8,184
12044-5877,CH,I,M,235,327,16.5,20.3,193
1204-45878,CH,A,F,243,334,17.5,19.2,196
1705-24634,CH,I,F,260,569,19.1,24,227
1205-24636,CH,I,F,255,429,19,22.9,208
1204-45867,CH,A,M,225,340,15.7,19.4,190
22-06-35428,CH,A,F,252,540,20,28.8,185
1204-45868,CH,A,M,237,365,17.3,19.9,195
1705-24637,CH,A,F,268,590,20,19.9,215
1705-24639,CH,A,F,254,505,19.6,24,212
1705-37411,CH,A,F,268,56,19.3,26.1,206
1705-37412,CH,A,F,145,320,16.5,20.5,180
1204-45869,CH,I,M,230,350,16.4,21.3,187
2206-35431,CH,I,F,272,565,20.7,24,219
1204-45870,CH,I,M,225,325,15.8,18.7,179
2206-35432,CH,A,F,266,535,18.8,25.4,223
1705-24640,CH,A,F,261,505,19.2,25.1,203
1204-45871,CH,I,M,223,375,16.2,20.7,185
1705-24641,CH,A,M,230,365,16.9,23.55,192
1705-24642,CH,I,F,320,229,17,21,195
804-00202,CH,I,M,227,155,17.1,21,192
804-00203,CH,A,M,230,340,16.1,20.2,198
1705-24643,CH,I,F,258,490,18,24.2,214
1750-24644,CH,A,F,254,515,19.5,23.8,218
1705-24645,CH,A,F,253,540,19.1,22.6,209
1705-24648,CH,A,F,260,565,20,24.2,216
1705-14646,CH,I,M,227,330,16,18.5,193
1705-24647,CH,I,F,261,455,17.1,26.8,216
1705-24649,CH,A,F,255,960,19.7,42.8,200
1705-37416,CH,A,F,260,565,19.7,54.5,205
804-00205,CH,A,M,234,380,12.4,21.9,192
2206-35435,CH,A,F,169,640,16.7,23.6,233
804-00206,CH,A,M,223,390,15.9,20.6,181
1204-5874,CH,I,M,230,340,16,19.5,196
1705-24644,CH,I,F,253,525,19.5,23.5,213
1204-45879,CH,I,M,216,305,16,20.4,185
1705-37417,CH,I,F,256,510,18.8,23.3,212
1705-37418,CH,I,F,255,440,18.6,22.8,214
1204-45880,CH,I,M,218,295,16.1,19.4,183
1204-45881,CH,I,M,225,300,16,20.1,183
1705-37419,CH,A,M,230,330,15.7,19.4,188
1705-37420,CH,A,F,252,470,19.5,28.4,211
1204-45882,CH,A,M,233,335,16.3,21.3,187
1204-45883,CH,I,M,230,335,16.3,19.7,201
1204-45884,CH,I,M,220,335,16.2,20,185
1204-45885,CH,A,M,230,360,16,22.1,186
1204-45886,CH,I,M,220,320,15.5,19.5,184
877-76317,RT,I,,385,920,25.7,30.1,219
877-76318,RT,I,,376,930,NA,NA,221
877-76319,RT,I,,381,990,26.7,31.3,235
1207-55910 ,RT,I,,412,1090,28.5,32.2,230
877-76320,RT,I,,370,960,25.3,30.1,212
877-76321,RT,A,,375,855,27.2,30,243
877-76322,RT,A,,412,1210,29.3,31.3,210
1207-55911,RT,I,,405,1120,26,30.2,238
877-76323,RT,I,,393,1010,26.3,30.8,222
877-76324,RT,I,,371,1010,25.4,29.7,217
877-76325,RT,A,,390,1120,28.9,30.9,213
1207-55917,RT,A,,393,NA,28.2,30.6,238
1207-55912,RT,I,,416,1170,26.5,34,243
1207-55913,RT,A,,436,1390,30.5,34,232
877-76326,RT,I,,418,1150,27.1,31,238
877-76327,RT,A,,381,950,28.9,28.9,202
877-76328,RT,I,,378,910,25.7,28.2,227
877-76329,RT,I,,396,1010,24,26.9,227
877-76330,RT,I,,399,1070,26.4,31.2,222
877-76331,RT,I,,416,1190,28.8,31.6,237
877-76332,RT,I,,415,101,24.9,30.7,238
877-76333,RT,A,,392,1330,27,30.3,213
877-76334,RT,I,,380,990,26,30,211
877-76335,RT,I,,399,1100,26.2,32.5,190
1207-55914,RT,A,,401,1190,28.6,31.6,245
608-48703,RT,I,,427,1490,30.1,32.4,246
1207-55915,RT,A,,395,1040,27.1,31.4,207
877-76336,RT,I,,362,820,24.9,27.9,209
1207-55916,RT,A,,396,1030,26,29.7,200
1207-55918,RT,A,,391,1300,25.5,32.4,215
1207-55919,RT,A,,413,1500,26.5,31.3,219
987-53707,RT,A,,371,1080,25.3,27.2,198
1207-55920,RT,A,,385,1320,27.3,30.1,207
877-76337,RT,A,,378,1490,25.4,31.3,204
1207-55921,RT,A,,416,1500,29.1,30.8,205
877-76339,RT,I,,384,1060,26.1,31.2,230
877-76340,RT,I,,382,1140,25.1,29.4,227
877-76341,RT,I,,390,1030,27.6,30.3,208
877-76342,RT,I,,390,1000,25.1,28.3,231
877-76344,RT,I,,393,1050,28.7,29.8,222
877-76345,RT,I,,378,1040,26.2,31.2,225
877-76346,RT,I,,398,1110,26.5,30.9,225
877-76347,RT,I,,412,1300,27.9,31.55,233
877-76348,RT,I,,400,980,25.7,29.3,214
877-76349,RT,I,,422,1120,26.4,28.3,233
877-76350,RT,I,,394,1270,27.8,31.6,245
787-53708,RT,I,,369,880,25,26.5,210
1207-55922,RT,I,,410,1255,29.7,31.4,229
1207-55923,RT,I,,241,1320,28.6,36.4,235
1207-55924,RT,I,,408,1320,30,33.4,221
877-76351,RT,I,,37.2,1180,20.2,26.65,210
877-76552,RT,I,,380,760,24.5,26.1,212
1207-55927,RT,I,,396,1250,26.6,32.5,225
877-76353,RT,I,,326,NA,25.2,27.7,215
877-76354,RT,I,,416,1300,27.3,32.7,235
877-76355,RT,A,,390,1080,30.2,29.1,209
877-76357,RT,A,,391,1130,26.4,29.4,212
877-76358,RT,A,,387,1160,26.8,31,209
1207-55941,RT,I,,420,1345,29.5,34.3,250
877-76359,RT,A,,435,1385,32.6,30.6,235
877-76360,RT,A,,400,1210,25.5,28.6,222
1207-55947,RT,I,,398,1455,28,31.5,236
877-76361,RT,I,,395,1180,25,28.9,210
877-76362,RT,I,,410,1500,27.1,33.2,239
1387-99101,RT,I,,369,1025,27.1,31.5,228
1387-99102,RT,I,,372,930,26.1,31.1,220
1387-99104,RT,I,,415,1360,28.6,33.5,233
1387-99103,RT,I,,412,1255,27.7,32.6,236
1387-97105,RT,I,,375,1065,25.9,30,216
1387-79106,RT,I,,385,1125,19.6,31.4,233
1207-64601,RT,I,,422,1340,28.7,32,248
1387-79107,RT,I,,391,1050,26.6,32.2,221
1387-79108,RT,I,,410,1210,27.5,308,227
1387-79109,RT,I,,385,980,26.8,27.8,223
1387-79111,RT,I,,381,1000,25.5,29.8,219
1207-64602,RT,A,,416,1390,28.1,31.3,225
1207-64603,RT,I,,406,1275,29,33.7,238
1207-64604,RT,I,,418,1180,30.1,341.4,235
1207-64605,RT,I,,412,1210,29.3,33.8,222
1387-79112,RT,I,,405,1085,27.7,29.9,238
1387-79113,RT,I,,380,810,25.9,28.7,229
1387-79114,RT,I,,381,905,27.9,29.1,227
1207-64606,RT,I,,428,1240,29.1,34.7,245
1207-64607,RT,I,,400,990,26.9,31.4,223
1307-79115,RT,I,,381,1010,25.8,31.7,210
1387-79116,RT,I,,403,980,26.3,29.7,234
1387-79117,RT,I,,382,860,26.5,29,219
1387-79118,RT,I,,382,970,25.8,29,216
1387-79119,RT,I,,399,980,27.5,29.9,230
1387-79120,RT,I,,380,985,23.9,29,223
1387-79121,RT,I,,375,990,25.6,30.6,220
1207-64608,RT,I,,420,1210,27.8,32.6,241
1387-79122,RT,I,,375,990,28,29.5,223
1207-64609,RT,I,,395,1170,28.1,31.7,238
1207-64610,RT,I,,406,1350,30.5,32,235
1207-64611,RT,I,,414,1370,29.3,33,240
1387-79123,RT,I,,388,985,26.9,29.8,220
1387-79124,RT,I,,277,940,26.5,30.4,218
1207-64612,RT,I,,423,1310,27.4,34.1,234
1387-79125,RT,I,,365,1035,26.1,30.8,232
1387-79126,RT,I,,383,965,26.1,31.8,221
1387-79127,RT,I,,391,1125,25.4,30.9,220
1387-79128,RT,I,,389,975,26.4,30.3,232
1387-79129,RT,I,,392,1140,26.2,29.8,214
1387-79130,RT,I,,375,950,25.3,29.9,225
1207-64613,RT,I,,410,1210,28.1,28.9,238
1207-64614,RT,I,,422,1205,28.8,31.3,238
1387-79131,RT,I,,385,1045,27.6,27.5,229
1387-79132,RT,I,,363,1090,26.6,28.8,202
1207-64615,RT,I,,450,1190,30.3,32.8,226
1287-79133,RT,I,,380,960,25.6,30.1,220
1387-79134,RT,I,,385,955,26.3,30.1,215
1387-79135,RT,I,,385,1110,24.7,30.2,122
1387-79136,RT,I,,380,900,24,26.5,215
1387-79137,RT,I,,384,1075,26.5,30.7,208
1387-79138,RT,I,,373,980,27.9,32.1,211
1387-79139,RT,I,,381,940,27.8,34.2,220
1387-79140,RT,I,,363,1070,25.6,30.4,204
1387-79141,RT,I,,409,1120,29.4,31.6,229
1387-79142,RT,A,,390,1060,27.6,29,205
1387-79143,RT,I,,420,1125,27.2,27.4,244
1387-79144,RT,I,,381,1100,27,28.2,225
1207-64616,RT,I,,408,1360,30,33.9,239
1387079145,RT,I,,388,995,26.7,30.7,222
1387-79146,RT,A,,398,1095,21.1,31.4,209
1387-079147,RT,A,,394,1075,25.5,29.7,211
1387-79148,RT,I,,394,1140,26.8,29.2,216
1207-64617,RT,I,,416,1240,27.9,31.8,250
1207-64618,RT,I,,445,1465,29.7,34.6,260
1387-79149,RT,I,,388,1105,26.7,28.9,217
1387-79150,RT,I,,397,1010,27.1,31.4,228
1387-79151,RT,I,,384,1075,26.3,30.5,218
1387-79152,RT,I,,379,1060,27.9,30.9,220
1387-79199,RT,I,,393,1015,27.6,31.1,227
1387-79153,RT,I,,386,1100,26,30.2,211
1387-79154,RT,I,,397,1010,25,30.6,222
1387-79155,RT,I,,382,1000,26.3,30.1,225
1387-79156,RT,I,,386,980,25.4,30.2,221
1387-79157,RT,I,,417,1240,28.7,32.4,231
1387-79158,RT,I,,403,1360,27.9,33.1,235
1207-64619,RT,I,,401,1405,29.1,82.8,235
1387-79159,RT,A,,377,1055,27,29.1,200
1207-64620,RT,A,,432,1670,27.1,32.9,216
1207-64621,RT,I,,390,1250,26.2,30.5,223
1387-79160,RT,I,,381,1030,25.3,29.9,210
1387-79161,RT,I,,403,1040,NA,29.9,229
1807-53101,RT,I,,390,1090,26.2,28.8,226
1387-79162,RT,A,,386,1050,28.4,29.4,207
1387-79163,RT,I,,402,1110,26.1,30,238
1387-79164,RT,A,,374,1010,24.9,30.1,197
1807-53103,RT,I,,358,880,24.2,28.7,250
1387-79165,RT,I,,370,1060,24.3,29.8,215
1387-79166,RT,I,,390,920,25.7,30,214
1387-79167,RT,I,,398,1195,26.2,29.8,230
1387-170,RT,I,,360,890,26,28.4,213
1387-79171,RT,I,,355,900,25.3,29,214
1207-64623,RT,A,,375,1110,22.2,31.5,224
1387-79173,RT,I,,409,1100,29,32.6,215
1207-64624,RT,I,,415,1285,29.5,31.8,239
1387-79174,RT,I,,363,920,26.8,30.2,214
1387-79175,RT,I,,381,1025,25.4,30.8,232
1387-79176,RT,A,,350,940,26,29.1,205
1387-79177,RT,I,,398,1240,28.5,30.8,243
1207-64625,RT,I,,412,1160,27.8,33,255
1387-79178,RT,I,,411,1240,26.8,32.7,276
1807-53104,RT,I,,373,930,24.4,27.4,210
1207-64626,RT,I,,415,1240,25.6,31.2,231
1387-79179,RT,I,,383,1030,25.2,29.8,216
1387-79180,RT,I,,390,1250,26.5,32,210
1387-79181,RT,I,,390,999,25.3,29.8,220
1387-79182,RT,A,,365,1120,26.5,30.8,260
1387-79183,RT,A,,345,1000,26.4,30.1,200
1207-64627,RT,I,,400,1040,27.7,32.1,230
1207-64628,RT,I,,380,1150,27.8,31.1,220
1207-79184,RT,I,,330,1000,25.9,30.2,220
1207-64629,RT,I,,410,1360,33.3,28.6,235
1387-79185,RT,I,,313,930,25.7,28.9,215
1387-79186,RT,I,,384,980,25.8,30.4,215
1207-64660,RT,I,,409,1260,27.7,31.8,221
1387-79187,RT,I,,390,900,27.5,28.6,225
1207-64630,RT,I,,411,1300,25.9,31.9,238
1387-79188,RT,A,,380,1040,26.4,30.9,212
1387-79189,RT,I,,370,950,27.3,30.5,215
1387-79190,RT,I,,415,1320,29.4,33.9,235
1387-79191,RT,I,,410,1280,27.9,32.7,229
1387-79192,RT,I,,412,1310,26.1,31.1,251
1207-64631,RT,A,,384,910,26.4,28.4,215
1207-64632,RT,I,,404,1220,28.6,30.4,225
1387-79193,RT,I,,375,920,23.8,28.8,210
1387-79794,RT,I,,410,1135,26.4,32.4,267
1387-79195,RT,I,,384,940,26.2,29.8,220
1207-64634,RT,I,,385,920,25,32.2,238
1387-79196,RT,I,,398,1280,28,32.4,248
1387-79197,RT,I,,425,1220,27.3,33,241
1397-79198,RT,I,,401,1000,26.7,28,212
1387-79172,RT,I,,387,1120,26.8,50.2,221
1807-53105,RT,I,,376,925,26,30.8,233
1207-64635,RT,A,,420,1280,27.5,31.8,230
877-76379,RT,I,,385,985,27.5,30.8,223
2107-64631,RT,I,,405,1350,28.3,32.6,226
1807-53107,RT,I,,350,730,24.6,25.7,208
1387-79200,RT,I,,388,890,27.8,31.2,231
877-76380,RT,I,,398,1020,26.5,31.1,217
1207-64637,RT,A,,410,1000,27.1,30.6,230
8777-63481,RT,A,,382,1020,26.5,29.4,225
1207-64638,RT,I,,111,1340,26.85,31.9,226
1207-64639,RT,I,,396,1300,27.3,30.5,214
8777-6382,RT,I,,363,1015,25.5,30.1,242
1807-53108,RT,I,,360,900,30.5,28.8,220
1207-64640,RT,I,,390,1000,26.1,29.6,250
1207-64641,RT,A,,390,1050,24.8,32.5,220
1207-64642,RT,I,,380,950,24.9,29,240
1207-64643,RT,A,,415,1175,28.3,33.2,230
1387-92101,RT,I,,354,980,25.8,29.3,220
1387-92102,RT,A,,417,1260,29,32.8,234
1387-92103,RT,I,,379,1050,25.9,31.3,226
1207-64644,RT,A,,412,1330,29.2,32.2,218
1387-92104,RT,A,,377,980,28,29.1,209
1387-92105,RT,I,,372,920,25.3,30,228
 ,RT,I,,420,1540,29.9,35.5,235
1387-92106,RT,I,,368,1060,25.5,26.9,223
1207-64645,RT,I,,406,1420,29.9,32,245
1387-92125,RT,I,,392,1142,27.2,33,235
1387-92127,RT,I,,365,813,26.2,30.1,221
1387-92128,RT,I,,352,1024,26.6,30.3,216
1387-92129,RT,I,,370,1023,25.8,30.1,216
1202-72601,RT,I,,230,340,16.5,30.5,200
1387-92130,RT,I,,364,917,26,29.6,216
1387-92131,RT,I,,367,946,26.7,28.9,221
1387-92132,RT,I,,233,337,15.7,31.9,196
1387-92133,RT,I,,362,832,23.8,32.6,210
1207-72602,RT,A,,368,1244,NA,NA,220
1387-92134,RT,I,,368,1244,26.7,30.2,220
1387-92135,RT,I,,367,974,25.2,29.6,221
1387-92136,RT,I,,400,1289,28.6,32.1,242
1387-92137,RT,I,,379,999,28.3,32,220
1387-92138,RT,I,,360,994,26.5,30.4,210
1387-92139,RT,I,,362,1004,27,31.4,221
1387-92140,RT,I,,378,1097,28.9,33.4,236
1387-92141,RT,I,,372,1092,27.2,31.8,235
1387-92142,RT,I,,369,1049,30.1,32,231
1387-92143,RT,I,,354,998,27.2,29.2,227
1387-92144,RT,I,,367,1091,31.8,34.2,238
1387-92145,RT,I,,349,987,29,31.1,225
1387-92146,RT,I,,375,1151,34.1,33.7,249
1387-92147,RT,I,,343,971,25.1,26.1,213
1387-92148,RT,I,,360,1159,32.9,34,240
1387-92149,RT,I,,395,1239,26.7,33.2,231
1397-92150,RT,I,,400,1216,28.5,32.1,227
1387-92151,RT,I,,369,1039,26.9,29.5,223
1387-92152,RT,I,,365,1079,25.2,30,228
1387-92153,RT,A,,375,1159,33.8,32.7,242
1387-92154,RT,A,,382,1403,34.9,34.7,247
1387-92155,RT,A,,478,1473,39.2,44.7,267
1387-92157,RT,I,,469,1001,29.9,43.2,257
1387-92156,RT,I,,373,914,25.9,30.4,221
1387-92158,RT,A,,386,1059,25.5,30.5,214
1207-72603,RT,I,,384,1147,29,35,229
1807-53127,RT,I,,351,949,26.8,29.7,213
1807-53128,RT,I,,363,973,24.8,27.3,213
1387-92159,RT,A,,374,1064,26,32.1,201
1807-53129,RT,I,,369,749,24,26.8,216
1387-92160,RT,I,,374,1213,24.9,28,244
1387-92161,RT,I,,389,1200,28.2,30.8,230
1387-92162,RT,I,,379,1040,25.3,29.4,227
1387-92166,RT,I,,373,919,24.2,28.5,233
1207-72604,RT,I,,403,1487,26,32.5,240
1207-72606,RT,I,,400,1254,25.2,30,237
1207-72607,RT,I,,405,1189,27.7,31.3,210
1387-92173,RT,I,,382,979,24.8,27.9,225
1387-92174,RT,I,,407,1339,27.3,33.4,246
1387-92175,RT,I,,403,1199,28.8,31,225
1207-72608,RT,I,,406,1344,27.9,33.1,230
1387-92196,RT,I,,381,969,26.1,31.1,220
1387-92177,RT,I,,395,1039,26,29.7,230
1207-72609,RT,I,,410,1054,28.5,31.5,233
1207-72610,RT,A,,425,1449,30.3,33,232
1387-92178,RT,I,,402,985,26.6,29.8,234
1387-92180,RT,A,,480,1598,34.2,35.4,239
1387-92181,RT,I,,412,992,30.1,31.5,230
1207-72611,RT,A,,381,1354,28.2,32,213
1207-72612,RT,A,,392,969,25.9,29,207
9387-92182,RT,I,,382,1080,25.3,31,214
1387-92183,RT,A,,391,1097,27.9,32.8,217
1207-72613,RT,A,,397,1439,28.8,31.4,216
1807-53130,RT,I,,361,NA,24.4,27.9,214
1387-92184,RT,I,,376,1019,25.8,29.5,216
1207-726114,RT,A,,410,1239,29.5,31.8,222
1207-72615,RT,I,,381,1399,27.6,31.3,288
1387-92185,RT,I,,396,1169,27.5,25.2,238
1387-92186,RT,I,,383,1164,27,29.9,199
1387-92187,RT,I,,271,NA,27.4,33,235
1387-92188,RT,I,,392,890,24.1,29.2,219
1207-72616,RT,I,,395,1215,28.3,33,236
1387-92189,RT,I,,370,1030,27.6,31.4,225
1387-92190,RT,I,,376,985,26.4,30.3,223
1387-92191,RT,I,,372,975,26.5,31.6,225
1207-72617,RT,I,,391,1165,28.2,32.4,241
1387-92192,RT,I,,364,1044,23.5,29,210
1387-92193,RT,I,M,381,1080,NA,32.3,223
1387-92194,RT,I,,375,890,24.6,28,219
1387-92195,RT,I,,392,1105,26.4,33.6,229
1207-72618,RT,A,,398,1310,28.3,35.2,211
1387-19197,RT,I,,371,895,26.8,31,204
1387-19298,RT,A,,367,1060,26.8,31,204
1387-19299,RT,A,,375,960,28.9,29.3,214
1387-19220,RT,I,,408,1270,29.4,33,236
1177-04601,RT,I,,399,1170,28.3,29.9,247
1207-72619,RT,I,,388,1225,29,31.5,227
1177-04699,RT,I,,370,1060,26.6,31.9,225
1177-04602,RT,I,,363,850,25.5,30,220
1177-04603,RT,I,,371,1145,25.5,10.3,215
1177-04604,RT,I,,386,1090,26.1,28.2,226
1207-72620,RT,I,,400,1345,32.6,33.9,227
1177-04605,RT,I,,390,1050,26.6,29,236
1177-14606,RT,A,,382,1040,27.1,30.8,210
1177-04607,RT,I,,354,965,26.2,28.5,226
1177-04608,RT,I,,403,1105,28.9,33.2,242
1177-04609,RT,I,,375,1045,27.2,30,221
1807-53131,RT,I,,369,900,24.4,27.3,220
1177-04610,RT,I,,368,1015,25.7,30.3,219
1177-04611,RT,A,,393,1385,27.9,32.6,225
1177-04612,RT,I,,370,1165,26,31.5,221
1177-04613,RT,I,,378,905,28,32.3,215
1177-04614,RT,I,,369,985,26,31.1,223
1807-53132,RT,I,,364,800,25.5,28.6,219
1177-06415,RT,I,,387,995,26.9,31.4,235
1207-72621,RT,A,,410,1460,29.4,33.6,216
1207-72622,RT,A,,410,1585,30.6,39.8,130
1177-04616,RT,I,,373,920,25,28.3,223
1207-72623,RT,I,,390,1460,29.3,35.6,221
1207-72624,RT,A,,404,1315,30,32.5,220
1177-04617,RT,I,,375,1019,26,29.9,186
1207-72625,RT,I,,395,1215,29.7,31.3,217
1177-04618,RT,I,,379,1005,27.8,31.4,209
1207-72626,RT,I,,382,1350,27.9,29.9,215
1207-72627,RT,I,,404,1145,27.7,31.8,214
1177-04619,RT,A,,377,1010,25.4,29,207
1177-04620,RT,I,,390,1120,26.6,30,210
1177-14621,RT,A,,404,280,28.2,31.55,224
1177-04622,RT,I,,351,775,25.4,29.3,200
1207-72628,RT,I,,394,1210,29.4,31.7,207
1807-53133,RT,A,,372,909,24.4,25.4,212
1177-04623,RT,I,,376,1145,25.1,31.55,226
1177-04624,RT,I,,399,1150,27.2,29.55,232
1207-72629,RT,I,,399,1560,30,33.85,228
1177-04625,RT,I,,357,940,23.6,28.35,205
1207-22630,RT,I,,400,1089,27.3,33.1,228
1207-72631,RT,I,,382,1194,29.4,33.8,237
1177-04626,RT,I,,390,1015,28,30.1,230
1177-04627,RT,I,,379,975,24.1,29.1,219
1177-04628,RT,I,,376,1035,26.8,30.5,223
1177-04629,RT,A,,331,1055,27,30.4,210
1177-04630,RT,I,,371,945,26.1,30.2,222
1177-04631,RT,I,,361,785,25.2,28.7,201
1207-72632,RT,I,,394,1220,30.3,34.5,234
1207-77633,RT,A,,358,1025,27.4,29,204
1177-04632,RT,I,,380,1000,26.9,29,204
1207-72634,RT,I,,397,1210,28.3,34,224
1207-72635,RT,I,,392,1185,28.5,33,229
1207-72636,RT,A,,406,NA,27,31.1,222
1177-04633,RT,I,,363,950,24.6,30.3,214
1177-04634,RT,I,,374,895,26.4,30.8,219
1177-04635,RT,I,,412,1150,27.8,33.2,230
1177-04636,RT,I,,388,950,26.5,32.2,230
1177-04637,RT,I,,371,990,26.9,29.7,217
1207-72637,RT,I,,391,1120,29,33.9,225
1207-72638,RT,I,F,410,1120,28.5,33.6,229
1177-04638,RT,I,,368,820,25.2,28.7,215
1177-04639,RT,I,F,410,1200,26.7,29.4,247
1207-74639,RT,A,F,425,1120,29.4,33.3,222
1177-04640,RT,I,,368,1120,24.7,30.8,220
1207-74640,RT,I,,392,1220,27.3,34.1,234
1207-72641,RT,I,,418,1310,29.1,31.9,248
1177-04641,RT,I,,370,920,26.8,29.7,221
1177-04642,RT,A,,370,955,26.5,30.5,218
1207-72642,RT,A,,408,1225,28.8,32.7,225
1207-72643,RT,A,,393,1400,27.9,35.3,215
1177-04643,RT,I,,365,1025,24.6,30.1,225
1207-72644,RT,I,,405,1140,28.2,31.9,244
1207-72645,RT,I,,381,1080,26.1,31.6,232
1177-04644,RT,I,,390,1135,27.6,31.1,238
