BandNumber,Species,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
1207-72646,RT,I,,384,1430,29.8,35,231
1177-04645,RT,I,,390,1050,25.6,29.9,218
1177-04646,RT,I,,381,920,27,29.6,223
1807-82702,RT,I,,371,905,23.6,26.8,197
1177-04647,RT,I,,356,915,26.4,28.9,195
1177-04648,RT,I,,377,910,25,29,206
1177-04649,RT,I,,362,950,25.4,29.7,213
1207-72647,RT,I,,400,1225,27.3,34.2,222
1207-72648,RT,I,,387,1090,27.9,32.4,227
1207-72649,RT,I,,409,1350,30,32.7,235
1177-04650,RT,I,,385,940,26.2,30.5,228
1807-82703,RT,I,,377,920,24.7,29.3,219
1177-04651,RT,I,,400,1190,29.4,33.3,231
1177-04652,RT,I,,363,915,25,28.3,209
1177-04653,RT,I,,403,1310,29.1,33.3,237
1177-04654,RT,I,,375,950,26.9,30.1,210
1177-04655,RT,I,,373,975,26.1,27.9,215
1177-04656,RT,I,,373,990,27.9,31,217
1177-04657,RT,A,,373,1270,26.5,29.6,207
1807-82704,RT,I,,354,960,26,31,211
1207-72650,RT,I,,394,1290,28.8,30.7,225
1177-04658,RT,I,,377,1045,26.9,31.5,223
1177-04659,RT,I,,364,1090,27.1,30.3,218
1177-04660,RT,I,,385,1180,28.6,30,222
1177-04661,RT,I,,390,1195,27.6,34.7,235
1177-04662,RT,A,,383,1055,27.7,32.7,208
1177-04663,RT,I,,365,1025,26.1,30.3,216
1177-04664,RT,I,,376,940,25.1,31.7,217
1207-72651,RT,A,,402,1335,28.3,33.3,219
1177-04665,RT,I,,394,1085,29.4,32.7,235
1177-04666,RT,A,,378,1090,28,30.9,212
1177-04667,RT,I,,369,995,26,28.2,211
1177-04668,RT,A,,378,1090,28,30.7,201
1177-04669,RT,A,,262,1020,28,31.2,200
1177-04670,RT,A,,379,1000,28.6,32.2,217
1177-04671,RT,I,,380,1085,27.4,33.3,223
1177-04672,RT,A,,380,1045,24.9,27,199
1177-04673,RT,I,,393,1060,27.7,32.4,217
1207-72652,RT,A,,389,1135,27.1,32.1,207
1207-72653,RT,I,,395,1210,28.5,28.5,222
1807-82705,RT,I,,367,965,24.8,24.1,217
1177-04674,RT,A,,368,905,26.8,27,200
1177-04675,RT,I,,377,1125,25.3,29.5,220
1177-04676,RT,I,,374,950,27.2,29.8,216
1177-04677,RT,A,,385,1195,27.3,30.9,216
1177-04698,RT,I,,363,1005,25,31.6,222
1177-04678,RT,I,,378,995,26.2,30,213
1207-72654,RT,I,,405,1170,29.25,39.8,226
1177-04679,RT,I,,392,1085,31.2,34.6,210
1207-72655,RT,I,,395,1115,27.4,32.7,235
1207-72656,RT,I,,390,1195,27.6,33,222
1207-72657,RT,A,,389,1165,29,33.1,223
1177-04680,RT,I,,378,235,25.4,30.7,223
1207-72658,RT,A,,385,1085,27.5,30.8,216
1177-04681,RT,I,,369,970,26.1,30.4,207
1177-04682,RT,I,,378,1030,28.5,31.9,218
1177-04683,RT,I,,373,1015,25.5,29.6,215
1177-04684,RT,A,,419,1030,29.2,31.5,224
1177-04685,RT,I,,414,1215,26.4,29.2,242
1177-04686,RT,I,,404,1170,28.4,32.8,237
1207-72659,RT,I,,379,1435,27.4,32.7,221
1207-72660 ,RT,I,,407,1235,30.1,35.8,243
1177-04689,RT,I,,376,1055,29.5,32.2,222
1177-04688,RT,I,,380,1105,22,30.8,208
1207-72661,RT,I,,408,1390,28.4,32.7,245
1177-04690,RT,A,,374,1080,26.5,31.3,206
1177-04691,RT,I,,376,910,26.1,32.2,220
1807-66307,RT,I,,370,845,25,27.4,217
1807-66308,RT,I,,363,865,25.6,27.3,210
1177-04692,RT,I,,372,2030,26.2,30.2,196
1807-66309,RT,A,,378,960,24.6,30,206
1177-04694,RT,I,,361,970,26.3,30.7,218
1177-04695,RT,A,,389,1265,26.6,30.6,210
1207-72662,RT,A,,404,1300,29.4,32.8,224
1177-04696,RT,A,,395,1170,25.8,30.5,218
1177-04697,RT,I,,368,1075,27.7,31.7,213
1177-04700,RT,I,,401,965,25.8,29.1,235
1807-53134,RT,I,,355,785,22.7,25,206
1177-04701,RT,A,,377,1095,25.6,31.7,206
1177-04702,RT,A,,277,1500,29.7,32.1,207
1207-72663,RT,A,,435,1595,27.4,34.5,230
1177-04703,RT,I,,372,985,25.4,31,224
1177-04704,RT,I,,390,240,25.2,29.3,218
1177-04705,RT,I,,359,875,26,31.1,215
1177-04706,RT,I,,393,1225,29,33.4,226
1207-72664,RT,I,,402,1255,30.6,34.6,242
1177-04707,RT,I,,362,950,26.8,30.7,212
1807-53135,RT,A,,359,895,27.5,30.1,201
1207-72665,RT,I,,362,1305,28.2,34.3,234
1177-04708,RT,I,,375,975,27.2,31.8,220
1177-04709,RT,I,,388,1185,28.9,34.3,225
1177-04710,RT,I,,392,1030,26.1,30.5,214
1207-72666,RT,I,,412,1215,28.7,34.1,230
1177-04711,RT,I,,371,1075,26.9,32.8,220
1807-53136,RT,I,,391,795,24.3,27.6,209
1177-04712,RT,I,,385,1225,27.8,32,225
1177-04713,RT,I,,370,920,26.3,32,226
1207-72667,RT,I,,400,1315,29.6,34,230
1207-72668,RT,I,,395,1155,29.9,34.4,233
1207-72669,RT,I,,403,1160,29,32.3,235
1177-04714,RT,I,,386,955,27.9,30.4,226
1177-04715,RT,I,,361,1030,27,30.5,231
1177-04716,RT,I,,377,1040,28.1,30.9,225
1807-53137,RT,I,,361,910,24.3,27.5,205
1177-04717,RT,I,,375,1005,26,32.5,226
1207-72670,RT,I,,401,1250,28.2,35.3,230
1177-04718,RT,I,,407,1275,27.5,33.7,238
1177-04719,RT,I,,375,1030,26.9,31.3,217
1177-04720,RT,A,,406,1290,29.3,33.3,227
1177-04721,RT,I,,386,1020,26.9,31.6,230
1177-04722,RT,I,,378,1055,26.5,29.9,217
1177-04723,RT,I,,379,1010,25,29.3,216
1177-04724,RT,I,,364,1015,24.9,29.5,215
1177-04725,RT,A,,350,1115,29.5,30.3,199
1207-7267,RT,I,,380,1320,26.7,31.6,210
1207-72672,RT,A,,395,1180,30.3,33.4,217
1177-04726,RT,I,,372,1145,25.9,32.2,212
1177-04727,RT,I,,376,995,28,30.2,223
1177-04728,RT,I,,367,1045,26.1,30.5,215
1807-53138,RT,I,,366,935,25.7,27.1,218
1177-04729,RT,I,,386,1065,26.1,31,221
1177-04730,RT,I,,375,1110,27.7,31.3,215
1177-04731,RT,A,,405,1255,27.9,31.8,218
1177-04732,RT,A,,371,1015,24.9,28.4,204
1177-04733,RT,I,,350,960,26.6,29.9,218
1177-04734,RT,A,,368,1090,27.3,30.4,216
1177-04735,RT,I,,372,1085,25.4,29.8,220
1177-04736,RT,I,,396,1065,27.7,30,230
1177-04737,RT,I,,365,1125,26.9,29.3,213
1177-04738,RT,I,,374,1050,25.5,30.3,220
1177-04739,RT,I,,372,980,26.4,29,215
1177-04740,RT,I,,376,1180,24.4,30.7,214
1177-04741,RT,I,,369,1095,26.6,28.4,215
1207-72673,RT,A,,391,1330,26.8,30.1,217
1177-0472,RT,A,,397,1100,22.1,28.8,219
1177-0473,RT,I,,366,1115,27.1,21,215
1207-72674,RT,A,,385,1400,30.3,33.3,211
1177-0744,RT,I,,400,1175,27.6,32.6,234
1177-0745,RT,A,,365,970,25.9,31.6,208
1207-72675,RT,I,,384,1260,28.6,32.5,226
1207-99560,RT,A,,396,1195,27,23.8,228
1177-04746,RT,I,,391,1035,27.9,33.1,221
1207-72676,RT,I,,393,1155,28.3,30.9,223
1207-72677,RT,I,,397,1260,27.8,32.9,232
1177-04747,RT,I,,384,1010,26.8,31.1,230
1177-04748,RT,I,,385,990,26,29.6,225
1177-04749,RT,I,,379,945,24.5,31.3,224
1177-04750,RT,I,,367,970,26.4,30.5,215
1207-72678,RT,I,,396,1240,28.9,32.8,237
1207-72679,RT,I,,428,1290,28.4,33.9,253
1177-04751,RT,A,,364,1150,26.1,28.2,196
1177-04752,RT,I,,370,960,25.4,30.4,217
1207-72680,RT,I,,400,1130,28.3,29.4,227
1177-04753,RT,I,,375,925,25.4,28.6,220
1207-72681,RT,I,,398,1205,27.6,33.4,227
1177-04754,RT,I,,385,1040,27.2,31.5,238
1807-53139,RT,I,,376,860,25.6,30,220
1177-04755,RT,I,,360,935,25.8,30,212
1177-04756,RT,A,,372,1010,24.3,29,197
1207-72682,RT,I,,400,1285,29.7,33.5,230
1807-53140,RT,I,,370,830,23.6,27.8,233
1207-72683,RT,I,,403,1350,28,32.8,140
1177-04757,RT,I,,375,1010,25,30.8,218
1177-04758,RT,I,,373,960,27.7,32.5,222
1177-04759,RT,I,,385,1370,26.4,29.2,233
1207-72684,RT,I,,392,1250,28.6,32.9,222
1807-53141,RT,I,,372,915,24.7,28.2,203
1177-04760,RT,I,,375,850,25,28,218
1207-72685,RT,I,,415,1285,29.4,34,242
1177-04761,RT,A,,380,1005,27,31.6,205
788-36611,RT,A,,411,1220,28.1,32.7,236
1207-72686,RT,I,,393,1265,28.3,32.7,233
1177-04762,RT,I,,370,1020,24.6,30,211
1177-04763,RT,I,,365,895,24.5,28.9,217
1177-04764,RT,I,,371,1160,25.7,28.4,218
1207-72687,RT,I,,400,1585,29,33.8,241
1177-04765,RT,A,,382,1140,24.9,31.6,218
1807-53142,RT,A,,371,1115,25.3,29.2,208
1177-04766,RT,A,,370,1145,25.4,30.2,212
1177-04767,RT,A,,347,990,25.3,29.8,203
1177-04768,RT,I,,363,945,24.5,NA,218
1177-04769,RT,A,,392,1030,26.3,28.1,196
1177-04770,RT,I,,365,990,26.4,30,217
1177-04771,RT,A,,387,1065,28,32.7,212
1177-04772,RT,I,,400,1050,26.1,29.7,237
1801-53143,RT,I,,362,840,23.2,26.1,206
1177-04773,RT,A,,370,1000,26.9,31.4,201
1177-04774,RT,A,,360,1325,26.2,30.6,224
1177-04775,RT,A,,366,945,25.3,27.2,199
1177-04776,RT,A,,402,1350,28.7,31,219
1207-53144,RT,I,,366,805,23.5,25.7,217
1177-04777,RT,I,,380,1525,26,27.6,224
1807-53145,RT,I,,360,790,21.9,27.6,211
1177-04778,RT,I,,369,860,25.2,28,207
1207-53145,RT,A,,199,1290,28.7,32.1,222
1253-98801,SS,I,F,205,170,12.5,14.3,157
1173-19901,SS,I,M,173,100,NA,NA,130
1253-98802,SS,I,F,205,180,11.7,15,164
173-19904,SS,I,M,193,100,9.3,101,144
193-19905,SS,I,M,171,88,9.7,11.5,136
1253-98803,SS,I,F,202,134,12.4,13.7,158
1173-19906,SS,I,M,158,100,10.8,10.5,122
1173-19907,SS,A,M,176,100,9.8,11.1,133
1373-35272,SS,A,F,194,NA,11.4,14.2,154
1423-16201,SS,I,F,205,194,12.6,14.4,155
2003-58433,SS,I,F,204,159,12.5,14.8,152
872-09611,SS,I,M,170,90,9.5,11.3,135
2003-58435,SS,A,F,208,168,12.7,14.8,155
2003-58436,SS,I,F,208,146,11.8,14.9,160
1423-16203,SS,I,M,175,108,10,11.5,137
1423-16204,SS,I,M,166,94,9.5,11.3,127
2003-58437,SS,A,F,198,188,12.2,143,150
2003-58438,SS,I,F,200,154,12.4,14.4,150
872-09612,SS,I,M,169,94,9,10.2,129
1423-16205,SS,I,M,177,91,10.2,11.3,133
872-09613,SS,I,M,170,89,8.6,11,136
872-09614,SS,A,M,177,97,10,11.3,137
872-09615,SS,A,M,170,93,10.1,11.2,126
872-09616,SS,I,M,173,103,9.7,19.4,137
2003-58439,SS,I,F,209,151,12.2,13.9,160
872-09617,SS,I,M,177,101,10.3,12.1,140
872-09618,SS,I,M,179,95,10.8,11.6,133
872-09619,SS,I,M,172,89,9.4,10.8,136
2003-58440,SS,A,F,202,195,12.4,14.1,151
1423-16206,SS,I,M,174,93,9.5,11,131
872-09620,SS,I,M,171,100,19.1,11.5,134
2003-58441,SS,I,F,204,168,12.1,14.3,155
1423-16207,SS,I,F,197,211,11.5,13.9,150
1423-16208,SS,I,F,209,196,12.1,14.6,164
2003-58442,SS,I,F,209,176,11.7,15.1,159
1423-11209,SS,A,F,204,180,12.3,15.2,160
1423-16210,SS,I,F,204,164,12.3,14.3,157
2003-58443,SS,I,F,209,158,12.2,14.4,160
2003-58444,SS,I,F,209,169,12.1,14.5,164
1423-16211,SS,I,F,213,190,12.2,15.5,160
872-09621,SS,I,M,172,105,10,10.8,125
1423-16212,SS,I,F,204,190,11.8,13.9,154
1423-16213,SS,I,F,201,206,12.1,13.5,151
1423-16214,SS,I,F,202,195,12.1,14.8,158
2003-59463,SS,I,F,200,160,10.2,13.2,153
972-09622,SS,I,M,179,105,10.1,11.3,131
2003-58464,SS,I,M,175,99,9.6,12.7,145
2003-58465,SS,I,F,203,165,12,14.4,165
2003-58466,SS,I,F,205,100,12,12.5,168
1343-78401,SS,I,F,213,125,11.5,14.4,156
1343-78402,SS,I,F,202,NA,NA,NA,164
1343-78403,SS,I,F,195,155,11.9,14.6,155
2003-58467,SS,I,F,203,150,11.5,13.9,159
2003-58468,SS,I,F,201,130,11.7,14.4,156
1423-16221,SS,I,M,178,90,10.9,12.1,145
1204-45807,SS,I,F,215,180,14.1,12.7,132
1423-16223,SS,A,M,171,90,9.9,11.9,138
2003-58469,SS,I,F,202,150,11.7,14.1,153
1343-78405,SS,I,F,204,180,11.5,12.4,186
1204-45808,SS,I,M,195,150,12.3,14.6,178
2003-58576,SS,I,F,191,157,12,13.8,158
1423-16276,SS,I,M,161,98,10.3,11.7,133
1423-16277,SS,I,M,156,94,9.9,11.4,125
2003-58577,SS,I,F,191,155,16.5,14.4,158
2003-58578,SS,I,F,198,181,12.5,14.1,159
872-09631,SS,I,M,160,92,9.8,11,132
872-09633,SS,I,M,164,98,10.1,11.4,136
872-09634,SS,I,M,163,100,10.4,11.2,137
1423-16228,SS,I,F,193,186,12.8,14,155
1423-16229,SS,I,F,190,164,11.9,14.5,155
972-04635,SS,I,M,165,98,10.1,11.4,138
972-09636,SS,I,M,162,NA,NA,NA,130
1426-16230,SS,A,F,198,158,12.1,14.5,154
1423-16231,SS,I,F,157,92,9.8,14.7,132
872-09638,SS,I,M,260,550,19.5,11.2,215
1423-16233,SS,I,F,259,439,18.8,15.2,218
1423-16232,SS,I,F,165,92,9.7,14.6,135
872-09639,SS,I,M,370,1094,27.3,11.5,221
1423-16234,SS,I,F,201,185,13.1,14.5,162
1423-16235,SS,I,M,193,181,12.8,11.5,150
1423-16236,SS,A,F,170,177,12.3,14.4,155
1423-16238,SS,I,M,230,162,12.3,13.8,149
1423-16239,SS,I,M,168,175,12.9,14,158
1423-16278,SS,I,M,172,98,8.7,10.9,148
872-09640,SS,I,M,168,102,9.6,11.9,138
1423-16240,SS,I,F,199,196,12.4,15.2,158
1343-78476,SS,I,F,202,201,11.7,14.9,165
1423-16241,SS,I,F,202,180,12.4,14.1,160
872-09641,SS,I,M,170,113,10.6,11.1,139
2003-58581,SS,A,F,205,156,10.8,14.1,144
1142-19209,SS,A,M,165,96,10.7,11.4,125
1423-16242,SS,I,M,170,101,9.8,11,135
1343-78477,SS,A,F,210,181,12.2,15,170
1343-78478,SS,A,F,196,185,12.5,14,146
1343-78479,SS,I,F,203,176,11.5,14.7,161
1423-16243,SS,I,F,196,160,12.3,14.7,137
872-09646,SS,I,M,168,105,10.2,11,143
1142-19210,SS,I,M,163,100,9.7,11.6,128
2003-99306,SS,I,F,205,NA,13.7,15,161
1142-19211,SS,I,M,163,100,9.9,11.3,131
1213-58901,SS,I,F,197,165,11.9,9.6,150
1142-19212,SS,I,,165,95,9.7,11.2,136
2003-99307,SS,A,F,202,180,12.9,15,160
1142-19213,SS,I,M,163,125,9.7,10.9,135
2003-99308,SS,A,F,193,165,13.2,14.6,146
2003-99309,SS,A,F,200,175,12.3,15.6,155
2003-99310,SS,I,F,192,170,12.4,15.5,159
1142-19214,SS,A,M,167,100,10,11.3,132
1142-19215,SS,A,M,162,110,10,11.8,130
2003-99311,SS,A,F,199,165,12.5,15.7,161
2003-99312,SS,A,F,199,200,12.5,14.9,169
803-05929,SS,A,F,196,155,12.7,14.3,164
2003-99313,SS,I,F,194,155,12.6,13.7,153
2003-99314,SS,I,F,194,165,11.9,14.1,151
803-05930,SS,A,F,194,185,13.1,15.5,154
2003-99315,SS,A,F,205,175,12.25,15.5,169
2003-99316,SS,I,M,184,155,12,14.9,153
1142-19227,SS,A,M,175,107,10,11.4,137
1142-19228,SS,I,M,169,95,10,11.85,132
2003-94317,SS,I,F,195,145,11.7,14.6,155
1142-18229,SS,I,M,161,95,10.1,11.3,135
1213-58902,SS,I,M,160,90,11,11.8,124
2003-99318,SS,A,F,191,175,13,15.3,149
803-05931,SS,A,F,188,175,12.1,14.2,154
803-05932,SS,A,F,196,180,13.1,13.9,150
803-05933,SS,A,F,190,175,12.8,14.6,147
1142-19230,SS,I,M,161,90,9.8,11.1,130
803-05934,SS,I,F,190,NA,11.9,14.6,153
1142-19231,SS,I,M,162,85,10.1,11.4,132
1142-19232,SS,I,M,163,90,9.8,11.5,123
1705-37413,SS,I,M,250,470,18.9,25.3,192
1142-19233,SS,A,M,170,100,10.9,12.2,132
803-05935,SS,A,F,203,180,13.2,15.6,162
803-05936,SS,A,F,194,175,12.4,14,152
1142-19234,SS,A,M,165,105,10.1,11.8,127
1142-19235,SS,A,M,155,100,9.3,11.8,122
1142-19236,SS,A,M,161,105,10.4,12,124
2003-99320,SS,A,F,195,200,13,13.4,158
2003-99321,SS,A,F,196,200,13.5,15.4,150
1142-19237,SS,A,M,169,100,10,11.7,133
1142-19238,SS,I,M,164,90,9.4,10.7,127
1142-19239,SS,A,M,165,95,10.4,11.4,127
1142-09240,SS,A,M,166,120,10.1,11.7,133
1142-09241,SS,A,M,170,110,11.4,121,135
1142-09242,SS,I,M,165,95,10.2,11.6,131
803-05937,SS,I,F,201,175,12,14.8,157
1142-19243,SS,I,M,165,100,10.6,12.1,137
2003-99233,SS,I,F,207,185,13,14.3,163
1142-19244,SS,I,M,164,95,11.4,130,136
2003-99323,SS,A,F,199,175,12.3,15,142
803-05938,SS,I,F,200,165,12.1,14.2,154
2003-99324,SS,I,F,194,145,12,14.6,156
2003-99325,SS,I,F,190,175,12.4,15.2,160
2003-99326,SS,I,F,195,170,13.1,14.8,149
1213-58903,SS,I,M,161,105,10.3,11.2,131
1213-58904,SS,I,M,168,95,10,11.4,137
1213-58905,SS,I,M,160,95,9.8,10.8,126
2003-99327,SS,I,F,201,165,12.3,14.8,165
1142-19245,SS,I,M,161,100,9.8,11.9,129
2003-99328,SS,I,F,192,170,11.9,9.5,156
1213-58906,SS,I,M,156,90,9.8,11.3,135
1213-58907,SS,I,M,158,95,10.7,11.1,129
1142-19246,SS,I,M,167,115,9.8,11.4,131
804-00201,SS,I,F,199,155,11.9,14.5,160
2003-99329,SS,A,F,199,180,12,15.5,152
1142-19247,SS,I,M,164,105,10.2,11.2,132
2003-99330,SS,A,F,203,185,13.5,14.2,157
1142-19248,SS,A,M,162,95,10.2,11,119
1142-19249,SS,I,M,165,95,10,11,130
1142-19250,SS,A,M,161,95,9.7,11,124
1142-19251,SS,I,M,161,110,10.1,11.8,130
1142-19252,SS,I,M,165,105,10.4,11.2,140
2003-99331,SS,A,F,199,175,12.8,14.5,159
1142-19253,SS,I,M,171,95,10.9,11.7,138
2003-99332,SS,A,F,213,190,13.7,15.2,159
1142-19254,SS,A,M,169,105,10.2,11.8,136
1142-19255,SS,A,M,172,120,9.8,11.8,132
1142-19256,SS,A,M,167,105,10.3,10.8,131
2003-99333,SS,A,F,202,175,13.3,14.9,162
2003-99334,SS,A,F,200,180,11.9,13.5,163
2003-99335,SS,I,F,195,170,12.9,14.7,154
2003-99336,SS,I,F,203,191,13.5,15.5,161
2003-99337,SS,I,F,199,185,12,14.9,157
2003-99338,SS,I,F,194,165,11.9,14.4,158
2003-99339,SS,A,F,196,205,12.2,14,156
1142-19257,SS,I,M,168,95,10.4,12.1,133
803-05939,SS,I,F,210,200,12.1,15.3,165
2003-99340,SS,I,F,197,160,12,14.7,153
1142-19258,SS,I,M,171,95,9.1,11.5,135
1142-19259,SS,I,M,155,100,9.8,12,129
1142-19260,SS,I,M,160,90,10.3,11.5,132
1142-19261,SS,I,M,166,105,11.3,11.4,131
2003-99341,SS,I,F,190,180,12.2,14.2,156
1142-19262,SS,I,M,166,110,10,11.9,139
2003-99342,SS,A,F,197,165,12.2,14.9,159
2003-99345,SS,I,F,190,170,12,15,154
1142-19263,SS,I,M,162,100,9.4,11.1,131
2003-00344,SS,I,F,194,155,12.5,14.5,156
803-05940,SS,A,F,193,190,13.1,14.9,145
2003-99346,SS,A,F,203,180,13.8,14.7,156
1142-19264,SS,A,M,159,90,10,11.5,130
1142-19265,SS,I,M,163,100,9.8,11.7,130
2003-99348,SS,A,M,191,190,12.4,14.8,147
1142-19266,SS,I,M,166,105,10.3,12,141
2003-99349,SS,I,F,193,180,11.9,14.3,156
803-05941,SS,I,F,196,175,12.4,15.6,153
1142-19267,SS,I,M,159,105,9.8,11,131
1213-58908,SS,I,F,192,190,11.8,14.2,155
2003-99350,SS,I,F,198,185,12.6,15.2,165
1142-19268,SS,I,M,162,105,9.8,12.5,132
1142-19269,SS,I,M,168,100,10.5,10.7,135
1142-19270,SS,A,M,168,105,10.7,11.6,134
1142-19271,SS,A,M,160,105,9.9,11.4,136
803-05942,SS,A,F,193,185,12.3,14.8,154
2003-99351,SS,I,F,199,190,12,15.2,163
2003-99352,SS,I,F,193,190,12.2,15.2,151
2003-99353,SS,I,F,193,200,11.3,13.5,155
2003-99354,SS,I,M,185,170,12,14.7,156
1142-19272,SS,I,M,166,115,9.9,11.6,136
2003-99355,SS,I,F,193,185,12.1,14.9,158
2003-99356,SS,I,F,198,185,11.8,15.1,161
2003-99357,SS,I,F,194,170,11.6,14,153
803-05943,SS,I,F,195,175,12,15.6,152
2003-99358,SS,I,F,200,165,11.5,14.5,163
1142-19273,SS,I,M,159,110,9.9,11.1,125
1142-19274,SS,I,M,161,100,9.3,11.5,134
2003-99359,SS,I,F,191,190,12.3,14.8,162
1142-19275,SS,I,M,161,90,9.5,11.3,123
1142-19276,SS,I,M,160,90,8.8,11.4,131
2003-99360,SS,I,M,183,160,12.7,14.6,143
1142-19277,SS,I,M,156,85,9.7,11,129
1142-19278,SS,I,M,159,95,8.9,10.4,125
2003-99362,SS,I,M,197,175,10,14.9,150
2003-99363,SS,I,F,196,160,12.6,14.5,158
2003-99364,SS,I,M,181,150,11.4,14.3,141
2003-99365,SS,I,F,201,188,11.7,14.9,162
1142-19279,SS,I,M,161,95,10.6,11.5,131
1142-19280,SS,I,M,159,95,9.9,11.2,132
1142-19281,SS,I,M,157,105,10,11.5,133
2003-99366,SS,I,F,191,165,11.5,14.9,156
2003-99367,SS,I,F,191,170,12.1,15.1,163
1142-19282,SS,I,M,168,100,10.2,11.9,134
2003-99368,SS,A,F,192,175,11.7,14.2,160
2003-99369,SS,A,F,195,195,13.6,14,158
1142-19283,SS,I,M,156,100,9.9,11.2,122
1142-19284,SS,I,M,163,105,10.3,11.7,137
2003-99370,SS,A,F,194,210,13,14.5,147
1142-19285,SS,I,M,160,95,10.2,11.2,135
2003-99371,SS,I,F,143,170,12.8,13.9,159
1142-19286,SS,I,M,162,100,8.7,11.4,136
1142-19287,SS,A,M,161,95,9.8,11.7,129
1142-19288,SS,A,M,161,95,9.6,12.4,121
1142-19289,SS,I,M,165,100,9.8,12,134
2003-99372,SS,A,F,194,185,12.8,14.8,152
1213-58909,SS,I,F,195,165,11.7,14.5,153
2003-99373,SS,I,F,193,105,13,15.6,156
803-05944,SS,I,F,198,190,12.2,15.8,158
2003-99374,SS,I,F,190,200,12.7,15,157
2003-99375,SS,I,F,197,185,12.8,15.6,157
1213-58910,SS,I,F,200,185,12.8,15.2,158
803-05985,SS,I,F,190,175,12.7,15.4,150
